"Салат ""Капрезо""(помидоры,сыр мацарелла,олив.масло,орегано)",100,3 руб 10 коп,,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Весенний""",100,1 руб 46 коп,,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Салат из свеклы с черносливом,100,1 руб 06 коп,,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Салат ""Лесной""",100,1 руб 85 коп,,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Салат -коктель ""Вянок""",100,2 руб 25 коп,,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Суп из птицы с овощами(птица,горошек зеленый,морковь,яйцо)",250,1 руб 31 коп,Супы,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Борщ с курицей и сметаной,250/20,1 руб 60 коп,Супы,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Зразы картофельные(картофель.яйцо,грибы,сухари)",200,3 руб 62 коп,Вторые блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Филе из птицы,100,2 руб 13 коп,Вторые блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Котлета ""Праздничная""",160,4 руб 49 коп,Вторые блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Бефстрогонов из говядины,75/75,4 руб 80 коп,Вторые блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Рыба хек жареная,100,4 руб 03 коп,Вторые блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Стейк из семги,100,13 руб 30 коп,Вторые блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Рис отварной,200,74 коп,Гарниры,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Каша перловая с луком и грудинкой,250,1 руб 74 коп,Гарниры,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Макароны отварные,150,1 руб,Гарниры,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Брокколи,150,2 руб 10 коп,Гарниры,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Горчица,25,45 коп,Соусы,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Сметана,50,50 коп,Соусы,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Соус соевый,25,34 коп,Соусы,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Кетчуп/ майонез,25,25 коп,Соусы,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Блинчики с творогом и сметаной,170/30,2 руб 10 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Вафли черноморские,шт.,60 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Зефир  в шоколаде,зефир",шт.,1 руб 10 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Батончик мюсли,шт.,60 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Печенье ""Фрайдей""",шт.,80 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Шоколад Спартак горький/Любимая Аленка,Каммунарка горький 20гр",шт., 40 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Шоколад Каммунарка горький 50гр/Любимая Аленка 50 г,шт.,1 руб ,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Круассан,шт.,2 руб,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Пирожок с черникой,пирожок с сыром ""Рикотто""",шт.,1 руб 25 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Шоколад""Любимая Аленка"", 100гр Шоколад""Спартак"""" 90г",шт.,2 руб,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Пончик с бананом,клубникой,белой глазурью,шоколадом,корицей",шт.,1 руб,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Маффин шоколадный,вишневый",шт.,2 руб 20 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Вафли ""Витьба""",шт.,50 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
"Вафли ""Витьба by""",шт.,60 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
Йогурт,шт.,65 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
сырок глазированный,шт.,70 коп,Сладкие блюда,02.04.2018,2018-04-02,Меню с 02.04 по 06.04.2018г.xls
