Food,Weight,Price,Type,Key,Date,File,SHA1
Салат из капусты с яблоком,100,86 коп,,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
"Салат ""Варя гуцульская""",100,1 руб 50 коп,,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
"Салат""Английский""",100,1 руб 82 коп,,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Суп-харчо,250,2 руб 05 коп,Супы,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Суп картофельный с фасолью и курицей,250,1 руб 58 коп,Супы,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Суп-пюре из бобовых,250,1 руб 70 коп,Супы,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Капрезе из грудки,140,4 руб 10 коп,Вторые блюда,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
"Бифштек""Смак""",95,2 руб 20 коп,Вторые блюда,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Колбаса говяжья с грибами,100,5 руб 10 коп,Вторые блюда,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Стейк из свинины,200,3 руб 60 коп,Вторые блюда,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Рыба хек   в сыре,100,3 руб 52 коп,Вторые блюда,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Картофельное пюре,200,1 руб,Гарниры,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Гречка отварная,200,60 коп,Гарниры,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Рис отварной,200,76 коп,Гарниры,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Фасоль  и мини морковь,150,2 руб 27 коп,Гарниры,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
хрен,25,45 коп,Соусы,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Соевый соус,15,30 коп,Соусы,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Сметана,25,30 коп,Соусы,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
"Соус""Hainz"" в ассортименте",шт.,50 коп,Соусы,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Блинчики с творогом и сметаной,170\30,2 руб 10 коп,Сладкие блюда,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
Напиток лимонный,0.2,65 коп,Напитки,14.01.2019,2019-01-14,Меню 14 января.xls,bcc2cc57a52a9a46b198bc366d1851d57ec3889a
